id,separationtype,gender,age,institute_service,dissatisfied,institute
113.0,Resignation-Other reasons,Female,56-60,5.0,True,DETE
115.0,Resignation-Move overseas/interstate,Female,41-45,15.0,True,DETE
117.0,Resignation-Other reasons,Male,56-60,36.0,True,DETE
119.0,Resignation-Other employer,Female,46-50,2.0,True,DETE
125.0,Resignation-Other employer,Female,36-40,0.0,True,DETE
127.0,Resignation-Other reasons,Male,51-55,32.0,True,DETE
131.0,Resignation-Other employer,Male,51-55,0.0,True,DETE
133.0,Resignation-Other reasons,Female,41-45,5.0,True,DETE
136.0,Resignation-Other reasons,Female,56-60,18.0,True,DETE
139.0,Resignation-Other employer,Female,41-45,8.0,False,DETE
146.0,Resignation-Other reasons,Male,61 or older,5.0,False,DETE
148.0,Resignation-Other employer,Male,26-30,9.0,True,DETE
159.0,Resignation-Other employer,Male,21-25,1.0,False,DETE
161.0,Resignation-Other reasons,Female,41-45,9.0,True,DETE
165.0,Resignation-Other employer,Female,41-45,7.0,True,DETE
180.0,Resignation-Other reasons,Female,36-40,0.0,True,DETE
184.0,Resignation-Other reasons,Female,61 or older,14.0,True,DETE
186.0,Resignation-Other reasons,Female,31-35,7.0,True,DETE
190.0,Resignation-Other employer,Female,41-45,6.0,True,DETE
193.0,Resignation-Other reasons,Female,46-50,17.0,False,DETE
196.0,Resignation-Other employer,Female,46-50,23.0,False,DETE
198.0,Resignation-Other employer,Female,31-35,7.0,True,DETE
205.0,Resignation-Other employer,Female,21-25,4.0,False,DETE
206.0,Resignation-Other reasons,Female,36-40,6.0,True,DETE
211.0,Resignation-Move overseas/interstate,Female,51-55,5.0,False,DETE
213.0,Resignation-Other reasons,Male,61 or older,26.0,True,DETE
225.0,Resignation-Other reasons,Female,36-40,3.0,True,DETE
229.0,Resignation-Other reasons,Male,56-60,18.0,True,DETE
236.0,Resignation-Move overseas/interstate,Female,21-25,3.0,False,DETE
248.0,Resignation-Move overseas/interstate,Female,26-30,6.0,False,DETE
249.0,Resignation-Move overseas/interstate,Male,31-35,1.0,False,DETE
251.0,Resignation-Other reasons,Male,26-30,7.0,True,DETE
255.0,Resignation-Other reasons,Female,31-35,12.0,True,DETE
256.0,Resignation-Other employer,Female,46-50,4.0,True,DETE
257.0,Resignation-Move overseas/interstate,Female,46-50,7.0,True,DETE
258.0,Resignation-Other reasons,Female,21-25,0.0,False,DETE
259.0,Resignation-Other employer,Female,26-30,5.0,True,DETE
260.0,Resignation-Move overseas/interstate,Male,41-45,4.0,True,DETE
263.0,Resignation-Move overseas/interstate,Male,36-40,2.0,True,DETE
264.0,Resignation-Move overseas/interstate,Female,21-25,4.0,False,DETE
265.0,Resignation-Other reasons,Female,20 or younger,1.0,False,DETE
268.0,Resignation-Other employer,Female,36-40,1.0,False,DETE
269.0,Resignation-Move overseas/interstate,Female,31-35,1.0,False,DETE
270.0,Resignation-Other reasons,Female,26-30,2.0,False,DETE
274.0,Resignation-Other reasons,Female,56-60,21.0,False,DETE
275.0,Resignation-Other employer,Female,36-40,2.0,False,DETE
280.0,Resignation-Other reasons,Female,61 or older,20.0,True,DETE
284.0,Resignation-Other employer,Female,26-30,5.0,True,DETE
285.0,Resignation-Other employer,Female,31-35,5.0,True,DETE
287.0,Resignation-Other employer,Female,36-40,0.0,False,DETE
296.0,Resignation-Move overseas/interstate,Female,51-55,32.0,True,DETE
297.0,Resignation-Other employer,Male,41-45,6.0,False,DETE
301.0,Resignation-Move overseas/interstate,Female,51-55,16.0,True,DETE
304.0,Resignation-Other reasons,Male,51-55,7.0,True,DETE
305.0,Resignation-Other employer,Male,46-50,4.0,False,DETE
312.0,Resignation-Other employer,Male,36-40,12.0,True,DETE
313.0,Resignation-Other reasons,Female,36-40,14.0,True,DETE
315.0,Resignation-Other employer,Female,36-40,12.0,False,DETE
318.0,Resignation-Other employer,Male,41-45,23.0,False,DETE
319.0,Resignation-Other reasons,Female,46-50,0.0,True,DETE
321.0,Resignation-Other reasons,Female,26-30,1.0,True,DETE
323.0,Resignation-Other employer,Male,26-30,6.0,True,DETE
325.0,Resignation-Other reasons,Female,21-25,1.0,False,DETE
326.0,Resignation-Other employer,Female,46-50,12.0,False,DETE
327.0,Resignation-Other reasons,Female,36-40,4.0,False,DETE
333.0,Resignation-Other reasons,Female,21-25,1.0,True,DETE
334.0,Resignation-Other employer,Female,51-55,0.0,True,DETE
